Autore/Opera	author	opera	Forma
Augustinus, Tract. in Ioh. 10-11, 1-2	Augustinus	 Tract. in Ioh. 10-11, 1-2	sermo
Augustinus, Tract. in Ioh. 101	Augustinus	 Tract. in Ioh. 101	homelia (nct)
Augustinus, Tract. in Ioh. 102	Augustinus	 Tract. in Ioh. 102	homelia (nct)
Augustinus, Tract. in Ioh. 103	Augustinus	 Tract. in Ioh. 103	homelia (nct)
Augustinus, Tract. in Ioh. 104	Augustinus	 Tract. in Ioh. 104	homelia (nct)
Augustinus, Tract. in Ioh. 11	Augustinus	 Tract. in Ioh. 11	homelia (nct)
Augustinus, Tract. in Ioh. 112, 1-3	Augustinus	 Tract. in Ioh. 112, 1-3	homelia (nct)
Augustinus, Tract. in Ioh. 112-113	Augustinus	 Tract. in Ioh. 112-113	homelia (nct)
Augustinus, Tract. in Ioh. 119	Augustinus	 Tract. in Ioh. 119	homelia (nct)
Augustinus, Tract. in Ioh. 120, 1-5 [interpolato]	Augustinus	 Tract. in Ioh. 120, 1-5 [interpolato]	homelia (nct)
Augustinus, Tract. in Ioh. 120, 6-9	Augustinus	 Tract. in Ioh. 120, 6-9	homelia (nct)
Augustinus, Tract. in Ioh. 121, 1-4	Augustinus	 Tract. in Ioh. 121, 1-4	homelia (nct)
Augustinus, Tract. in Ioh. 121, 4-5	Augustinus	 Tract. in Ioh. 121, 4-5	homelia (nct)
Augustinus, Tract. in Ioh. 122	Augustinus	 Tract. in Ioh. 122	homelia (nct)
Augustinus, Tract. in Ioh. 123, 4-5	Augustinus	 Tract. in Ioh. 123, 4-5	homelia (nct)
Augustinus, Tract. in Ioh. 123, 4-5	Augustinus	 Tract. in Ioh. 123, 4-5	nan
Augustinus, Tract. in Ioh. 124	Augustinus	 Tract. in Ioh. 124	homelia (nct)
Augustinus, Tract. in Ioh. 124 (versione abbreviata)	Augustinus	 Tract. in Ioh. 124 (versione abbreviata)	homelia (nct)
Augustinus, Tract. in Ioh. 15	Augustinus	 Tract. in Ioh. 15	homelia (nct)
Augustinus, Tract. in Ioh. 15, 1-11	Augustinus	 Tract. in Ioh. 15, 1-11	homelia (nct)
Augustinus, Tract. in Ioh. 15, 5-33	Augustinus	 Tract. in Ioh. 15, 5-33	sermo
Augustinus, Tract. in Ioh. 15, 5-33	Augustinus	 Tract. in Ioh. 15, 5-33	homelia (nct)
Augustinus, Tract. in Ioh. 16, 3-7	Augustinus	 Tract. in Ioh. 16, 3-7	homelia (nct)
Augustinus, Tract. in Ioh. 16, 3-7	Augustinus	 Tract. in Ioh. 16, 3-7	nan
Augustinus, Tract. in Ioh. 17	Augustinus	 Tract. in Ioh. 17	homelia (nct)
Augustinus, Tract. in Ioh. 17	Augustinus	 Tract. in Ioh. 17	nan
Augustinus, Tract. in Ioh. 17, 1-12	Augustinus	 Tract. in Ioh. 17, 1-12	nan
Augustinus, Tract. in Ioh. 24	Augustinus	 Tract. in Ioh. 24	homelia (nct)
Augustinus, Tract. in Ioh. 24	Augustinus	 Tract. in Ioh. 24	nan
Augustinus, Tract. in Ioh. 26	Augustinus	 Tract. in Ioh. 26	homelia (nct)
Augustinus, Tract. in Ioh. 28	Augustinus	 Tract. in Ioh. 28	homelia (nct)
Augustinus, Tract. in Ioh. 28	Augustinus	 Tract. in Ioh. 28	nan
Augustinus, Tract. in Ioh. 28, 1-6	Augustinus	 Tract. in Ioh. 28, 1-6	homelia (nct)
Augustinus, Tract. in Ioh. 29	Augustinus	 Tract. in Ioh. 29	nan
Augustinus, Tract. in Ioh. 29, 1-7	Augustinus	 Tract. in Ioh. 29, 1-7	homelia (nct)
Augustinus, Tract. in Ioh. 29-30	Augustinus	 Tract. in Ioh. 29-30	homelia (nct)
Augustinus, Tract. in Ioh. 31, 8-11	Augustinus	 Tract. in Ioh. 31, 8-11	homelia (nct)
Augustinus, Tract. in Ioh. 31, 8-11 +  Tract. in Ioh. 32, 1-6	Augustinus	 Tract. in Ioh. 31, 8-11 +  Tract. in Ioh. 32, 1-6	homelia (nct)
Augustinus, Tract. in Ioh. 31, 8-11 + 32	Augustinus	 Tract. in Ioh. 31, 8-11 + 32	homelia (nct)
Augustinus, Tract. in Ioh. 31, 8-11; 32, 1-5.	Augustinus	 Tract. in Ioh. 31, 8-11; 32, 1-5.	nan
Augustinus, Tract. in Ioh. 33	Augustinus	 Tract. in Ioh. 33	homelia (nct)
Augustinus, Tract. in Ioh. 33	Augustinus	 Tract. in Ioh. 33	nan
Augustinus, Tract. in Ioh. 33, 1-2	Augustinus	 Tract. in Ioh. 33, 1-2	homelia (nct)
Augustinus, Tract. in Ioh. 34, 1-5	Augustinus	 Tract. in Ioh. 34, 1-5	homelia (nct)
Augustinus, Tract. in Ioh. 34-36, 1-8	Augustinus	 Tract. in Ioh. 34-36, 1-8	homelia (nct)
Augustinus, Tract. in Ioh. 34-37	Augustinus	 Tract. in Ioh. 34-37	homelia (nct)
Augustinus, Tract. in Ioh. 36, 9-13 + 37	Augustinus	 Tract. in Ioh. 36, 9-13 + 37	homelia (nct)
Augustinus, Tract. in Ioh. 38	Augustinus	 Tract. in Ioh. 38	homelia (nct)
Augustinus, Tract. in Ioh. 38	Augustinus	 Tract. in Ioh. 38	nan
Augustinus, Tract. in Ioh. 38, 1-2 +  10-11	Augustinus	 Tract. in Ioh. 38, 1-2 +  10-11	homelia (nct)
Augustinus, Tract. in Ioh. 39 + 40, 2-6	Augustinus	 Tract. in Ioh. 39 + 40, 2-6	sermo
Augustinus, Tract. in Ioh. 39, 1	Augustinus	 Tract. in Ioh. 39, 1	homelia (nct)
Augustinus, Tract. in Ioh. 39, 1-6	Augustinus	 Tract. in Ioh. 39, 1-6	homelia (nct)
Augustinus, Tract. in Ioh. 39, 1-6	Augustinus	 Tract. in Ioh. 39, 1-6	nan
Augustinus, Tract. in Ioh. 39, 6-8	Augustinus	 Tract. in Ioh. 39, 6-8	homelia (nct)
Augustinus, Tract. in Ioh. 39-40, 1-6	Augustinus	 Tract. in Ioh. 39-40, 1-6	homelia (nct)
Augustinus, Tract. in Ioh. 4,1-14	Augustinus	 Tract. in Ioh. 4,1-14	nan
Augustinus, Tract. in Ioh. 42, 14- 43	Augustinus	 Tract. in Ioh. 42, 14- 43	homelia (nct)
Augustinus, Tract. in Ioh. 42, 14-16 + 43	Augustinus	 Tract. in Ioh. 42, 14-16 + 43	homelia (nct)
Augustinus, Tract. in Ioh. 44	Augustinus	 Tract. in Ioh. 44	homelia (nct)
Augustinus, Tract. in Ioh. 44, 1-6	Augustinus	 Tract. in Ioh. 44, 1-6	homelia (nct)
Augustinus, Tract. in Ioh. 44, 4-17	Augustinus	 Tract. in Ioh. 44, 4-17	homelia (nct)
Augustinus, Tract. in Ioh. 44, 8-17	Augustinus	 Tract. in Ioh. 44, 8-17	homelia (nct)
Augustinus, Tract. in Ioh. 45	Augustinus	 Tract. in Ioh. 45	homelia (nct)
Augustinus, Tract. in Ioh. 45, 1-8	Augustinus	 Tract. in Ioh. 45, 1-8	homelia (nct)
Augustinus, Tract. in Ioh. 46	Augustinus	 Tract. in Ioh. 46	homelia (nct)
Augustinus, Tract. in Ioh. 47	Augustinus	 Tract. in Ioh. 47	homelia (nct)
Augustinus, Tract. in Ioh. 47, 1-9	Augustinus	 Tract. in Ioh. 47, 1-9	homelia (nct)
Augustinus, Tract. in Ioh. 48	Augustinus	 Tract. in Ioh. 48	homelia (nct)
Augustinus, Tract. in Ioh. 48	Augustinus	 Tract. in Ioh. 48	nan
Augustinus, Tract. in Ioh. 49, 1-18	Augustinus	 Tract. in Ioh. 49, 1-18	homelia (nct)
Augustinus, Tract. in Ioh. 49, 1-25	Augustinus	 Tract. in Ioh. 49, 1-25	homelia (nct)
Augustinus, Tract. in Ioh. 49, 1-25	Augustinus	 Tract. in Ioh. 49, 1-25	sermo
Augustinus, Tract. in Ioh. 49, 1-6	Augustinus	 Tract. in Ioh. 49, 1-6	homelia (nct)
Augustinus, Tract. in Ioh. 49, 26-28	Augustinus	 Tract. in Ioh. 49, 26-28	homelia (nct)
Augustinus, Tract. in Ioh. 49, 26-28	Augustinus	 Tract. in Ioh. 49, 26-28	nan
Augustinus, Tract. in Ioh. 5	Augustinus	 Tract. in Ioh. 5	homelia (nct)
Augustinus, Tract. in Ioh. 50	Augustinus	 Tract. in Ioh. 50	nan
Augustinus, Tract. in Ioh. 50, 14 + 51-52, 1-4	Augustinus	 Tract. in Ioh. 50, 14 + 51-52, 1-4	homelia (nct)
Augustinus, Tract. in Ioh. 50, 14-51, 8	Augustinus	 Tract. in Ioh. 50, 14-51, 8	homelia (nct)
Augustinus, Tract. in Ioh. 50, 14; 51, 2-8	Augustinus	 Tract. in Ioh. 50, 14; 51, 2-8	homelia (nct)
Augustinus, Tract. in Ioh. 50, 14; 51, 2-8	Augustinus	 Tract. in Ioh. 50, 14; 51, 2-8	nan
Augustinus, Tract. in Ioh. 50, 5-11	Augustinus	 Tract. in Ioh. 50, 5-11	homelia (nct)
Augustinus, Tract. in Ioh. 50, 5-14	Augustinus	 Tract. in Ioh. 50, 5-14	homelia (nct)
Augustinus, Tract. in Ioh. 50, 5-14 + 52, 5-14	Augustinus	 Tract. in Ioh. 50, 5-14 + 52, 5-14	homelia (nct)
Augustinus, Tract. in Ioh. 51, 8-13	Augustinus	 Tract. in Ioh. 51, 8-13	homelia (nct)
Augustinus, Tract. in Ioh. 51, 9-13	Augustinus	 Tract. in Ioh. 51, 9-13	homelia (nct)
Augustinus, Tract. in Ioh. 54	Augustinus	 Tract. in Ioh. 54	homelia (nct)
Augustinus, Tract. in Ioh. 55	Augustinus	 Tract. in Ioh. 55	homelia (nct)
Augustinus, Tract. in Ioh. 55, 3-7 + 58, 4-5	Augustinus	 Tract. in Ioh. 55, 3-7 + 58, 4-5	homelia (nct)
Augustinus, Tract. in Ioh. 56	Augustinus	 Tract. in Ioh. 56	homelia (nct)
Augustinus, Tract. in Ioh. 57	Augustinus	 Tract. in Ioh. 57	homelia (nct)
Augustinus, Tract. in Ioh. 58	Augustinus	 Tract. in Ioh. 58	homelia (nct)
Augustinus, Tract. in Ioh. 59 + 60, 1-2 + 61, 2-6 + 62 + 63, 2-3	Augustinus	 Tract. in Ioh. 59 + 60, 1-2 + 61, 2-6 + 62 + 63, 2-3	nan
Augustinus, Tract. in Ioh. 59, 1-3 + 60 + 61, 2-6 + 62 + 63, 2-3	Augustinus	 Tract. in Ioh. 59, 1-3 + 60 + 61, 2-6 + 62 + 63, 2-3	homelia (nct)
Augustinus, Tract. in Ioh. 59, 1-3 + 60 + 61, 2-6 + 62 + 63, 2-3	Augustinus	 Tract. in Ioh. 59, 1-3 + 60 + 61, 2-6 + 62 + 63, 2-3	nan
Augustinus, Tract. in Ioh. 59-60, 1-2	Augustinus	 Tract. in Ioh. 59-60, 1-2	homelia (nct)
Augustinus, Tract. in Ioh. 66	Augustinus	 Tract. in Ioh. 66	homelia (nct)
Augustinus, Tract. in Ioh. 67	Augustinus	 Tract. in Ioh. 67	homelia (nct)
Augustinus, Tract. in Ioh. 69	Augustinus	 Tract. in Ioh. 69	homelia (nct)
Augustinus, Tract. in Ioh. 7	Augustinus	 Tract. in Ioh. 7	homelia (nct)
Augustinus, Tract. in Ioh. 8 (versione abbreviata)	Augustinus	 Tract. in Ioh. 8 (versione abbreviata)	homelia (nct)
Augustinus, Tract. in Ioh. 80	Augustinus	 Tract. in Ioh. 80	homelia (nct)
Augustinus, Tract. in Ioh. 81	Augustinus	 Tract. in Ioh. 81	homelia (nct)
Augustinus, Tract. in Ioh. 81	Augustinus	 Tract. in Ioh. 81	nan
Augustinus, Tract. in Ioh. 82	Augustinus	 Tract. in Ioh. 82	homelia (nct)
Augustinus, Tract. in Ioh. 85	Augustinus	 Tract. in Ioh. 85	homelia (nct)
Augustinus, Tract. in Ioh. 86	Augustinus	 Tract. in Ioh. 86	homelia (nct)
Augustinus, Tract. in Ioh. 94	Augustinus	 Tract. in Ioh. 94	homelia (nct)
Augustinus, Tract. in Ioh. 95	Augustinus	 Tract. in Ioh. 95	homelia (nct)
Augustinus, Tract. in Ioh., 121, 4-5	Augustinus	 Tract. in Ioh., 121, 4-5	homelia (nct)
Augustinus, de s. Dom. in monte, II, 1, 1-3; 2, 5-6; 2, 8-9	Augustinus	 de s. Dom. in monte, II, 1, 1-3; 2, 5-6; 2, 8-9	homelia (nct)
Augustinus,Tract. in Io 26, 1-6	Augustinus	Tract. in Io 26, 1-6	homelia (nct)
Augustinus,Tract. in Ioh. 26, 1-8	Augustinus	Tract. in Ioh. 26, 1-8	homelia (nct)
Augustinus. De div. Quaest., 36	Augustinus. De div. Quaest.	 36	homelia (nct)
Beda, Hom. I, 1	Beda	 Hom. I, 1	homelia (nct)
Beda, Hom. I, 10	Beda	 Hom. I, 10	homelia (nct)
Beda, Hom. I, 11	Beda	 Hom. I, 11	homelia (nct)
Beda, Hom. I, 12	Beda	 Hom. I, 12	homelia (nct)
Beda, Hom. I, 14	Beda	 Hom. I, 14	homelia (nct)
Beda, Hom. I, 14	Beda	 Hom. I, 14	nan
Beda, Hom. I, 15	Beda	 Hom. I, 15	homelia (nct)
Beda, Hom. I, 16	Beda	 Hom. I, 16	homelia (nct)
Beda, Hom. I, 17	Beda	 Hom. I, 17	homelia (nct)
Beda, Hom. I, 18	Beda	 Hom. I, 18	homelia (nct)
Beda, Hom. I, 19	Beda	 Hom. I, 19	homelia (nct)
Beda, Hom. I, 2	Beda	 Hom. I, 2	homelia (nct)
Beda, Hom. I, 20	Beda	 Hom. I, 20	homelia (nct)
Beda, Hom. I, 20	Beda	 Hom. I, 20	nan
Beda, Hom. I, 21	Beda	 Hom. I, 21	homelia (nct)
Beda, Hom. I, 22	Beda	 Hom. I, 22	homelia (nct)
Beda, Hom. I, 23	Beda	 Hom. I, 23	homelia (nct)
Beda, Hom. I, 23	Beda	 Hom. I, 23	nan
Beda, Hom. I, 24	Beda	 Hom. I, 24	homelia (nct)
Beda, Hom. I, 24	Beda	 Hom. I, 24	nan
Beda, Hom. I, 25	Beda	 Hom. I, 25	homelia (nct)
Beda, Hom. I, 3	Beda	 Hom. I, 3	homelia (nct)
Beda, Hom. I, 3	Beda	 Hom. I, 3	nan
Beda, Hom. I, 4	Beda	 Hom. I, 4	homelia (nct)
Beda, Hom. I, 5	Beda	 Hom. I, 5	homelia (nct)
Beda, Hom. I, 6	Beda	 Hom. I, 6	homelia (nct)
Beda, Hom. I, 7	Beda	 Hom. I, 7	homelia (nct)
Beda, Hom. I, 8	Beda	 Hom. I, 8	nan
Beda, Hom. I, 8	Beda	 Hom. I, 8	homelia (nct)
Beda, Hom. I, 9	Beda	 Hom. I, 9	homelia (nct)
Beda, Hom. II, 10	Beda	 Hom. II, 10	homelia (nct)
Beda, Hom. II, 11	Beda	 Hom. II, 11	homelia (nct)
Beda, Hom. II, 12	Beda	 Hom. II, 12	homelia (nct)
Beda, Hom. II, 13	Beda	 Hom. II, 13	homelia (nct)
Beda, Hom. II, 14	Beda	 Hom. II, 14	homelia (nct)
Beda, Hom. II, 15	Beda	 Hom. II, 15	homelia (nct)
Beda, Hom. II, 16	Beda	 Hom. II, 16	homelia (nct)
Beda, Hom. II, 17	Beda	 Hom. II, 17	homelia (nct)
Beda, Hom. II, 18	Beda	 Hom. II, 18	homelia (nct)
Beda, Hom. II, 18	Beda	 Hom. II, 18	nan
Beda, Hom. II, 19	Beda	 Hom. II, 19	homelia (nct)
Beda, Hom. II, 2	Beda	 Hom. II, 2	homelia (nct)
Beda, Hom. II, 20	Beda	 Hom. II, 20	homelia (nct)
Beda, Hom. II, 21	Beda	 Hom. II, 21	homelia (nct)
Beda, Hom. II, 22	Beda	 Hom. II, 22	homelia (nct)
Beda, Hom. II, 23	Beda	 Hom. II, 23	homelia (nct)
Beda, Hom. II, 24	Beda	 Hom. II, 24	homelia (nct)
Beda, Hom. II, 25	Beda	 Hom. II, 25	homelia (nct)
Beda, Hom. II, 3	Beda	 Hom. II, 3	homelia (nct)
Beda, Hom. II, 6	Beda	 Hom. II, 6	homelia (nct)
Beda, Hom. II, 7	Beda	 Hom. II, 7	homelia (nct)
Beda, Hom. II, 7	Beda	 Hom. II, 7	nan
Beda, Hom. II, 8	Beda	 Hom. II, 8	homelia (nct)
Beda, Hom. II, 9	Beda	 Hom. II, 9	homelia (nct)
Beda, In Lc 5, 20	Beda	 In Lc 5, 20	homelia (nct)
Beda, In Lc I, 2	Beda	 In Lc I, 2	homelia (nct)
Beda, In Lc I, 2, 35	Beda	 In Lc I, 2, 35	homelia (nct)
Beda, In Lc I, 2, 39-40	Beda	 In Lc I, 2, 39-40	homelia (nct)
Beda, In Lc I, 59-75	Beda	 In Lc I, 59-75	homelia (nct)
Beda, In Lc II, 4	Beda	 In Lc II, 4	homelia (nct)
Beda, In Lc II, 4, 23-28 +  testo non id. + 29-30	Beda	 In Lc II, 4, 23-28 +  testo non id. + 29-30	homelia (nct)
Beda, In Lc II, 4, 23-28 + testo non id. + 29-30	Beda	 In Lc II, 4, 23-28 + testo non id. + 29-30	homelia (nct)
Beda, In Lc II, 4, 23-28 + testo non id. + 29-30	Beda	 In Lc II, 4, 23-28 + testo non id. + 29-30	nan
Beda, In Lc II, 4, 23-28 + testo non id. + 29-30	Beda	 In Lc II, 4, 23-28 + testo non id. + 29-30	sermo
Beda, In Lc II, 5	Beda	 In Lc II, 5	homelia (nct)
Beda, In Lc II, 5	Beda	 In Lc II, 5	nan
Beda, In Lc II, 6	Beda	 In Lc II, 6	homelia (nct)
Beda, In Lc II, 6, 37-40	Beda	 In Lc II, 6, 37-40	homelia (nct)
Beda, In Lc II, 7	Beda	 In Lc II, 7	homelia (nct)
Beda, In Lc II, 7	Beda	 In Lc II, 7	nan
Beda, In Lc II, II, 4, 23-28; 29-30:	Beda	 In Lc II, II, 4, 23-28; 29-30:	homelia (nct)
Beda, In Lc III, 10	Beda	 In Lc III, 10	homelia (nct)
Beda, In Lc III, 11	Beda	 In Lc III, 11	homelia (nct)
Beda, In Lc III, 8	Beda	 In Lc III, 8	homelia (nct)
Beda, In Lc III, 8	Beda	 In Lc III, 8	nan
Beda, In Lc III, 8, 22	Beda	 In Lc III, 8, 22	homelia (nct)
Beda, In Lc III, 9	Beda	 In Lc III, 9	homelia (nct)
Beda, In Lc IV, 11	Beda	 In Lc IV, 11	homelia (nct)
Beda, In Lc IV, 11	Beda	 In Lc IV, 11	nan
Beda, In Lc IV, 12	Beda	 In Lc IV, 12	homelia (nct)
Beda, In Lc IV, 14	Beda	 In Lc IV, 14	homelia (nct)
Beda, In Lc IV, 15	Beda	 In Lc IV, 15	homelia (nct)
Beda, In Lc IV,12	Beda	 In Lc IV,12	homelia (nct)
Beda, In Lc V, 16	Beda	 In Lc V, 16	homelia (nct)
Beda, In Lc V, 16 +  IV, 12	Beda	 In Lc V, 16 +  IV, 12	homelia (nct)
Beda, In Lc V, 16 + IV,  12	Beda	 In Lc V, 16 + IV,  12	homelia (nct)
Beda, In Lc V, 16 + IV, 12	Beda	 In Lc V, 16 + IV, 12	homelia (nct)
Beda, In Lc V, 17	Beda	 In Lc V, 17	homelia (nct)
Beda, In Lc V, 18	Beda	 In Lc V, 18	homelia (nct)
Beda, In Lc V, 19	Beda	 In Lc V, 19	homelia (nct)
Beda, In Lc VI, 22	Beda	 In Lc VI, 22	homelia (nct)
Beda, In Lc VI, 22	Beda	 In Lc VI, 22	nan
Beda, In Lc VI, 24	Beda	 In Lc VI, 24	homelia (nct)
Beda, In Lc VI, 36-47 = Rabanus Maurus, Hom. in ev. 8	Beda	 In Lc VI, 36-47 = Rabanus Maurus, Hom. in ev. 8	homelia (nct)
Beda, In Lc, II, 6	Beda	 In Lc, II, 6	homelia (nct)
Beda, In Lucam III, 8	Beda	 In Lucam III, 8	homelia (nct)
Beda, In Lucam V, 20	Beda	 In Lucam V, 20	homelia (nct)
Beda, In Mc 3, 203-244	Beda	 In Mc 3, 203-244	homelia (nct)
Beda, In Mc II, 6	Beda	 In Mc II, 6	homelia (nct)
Beda, In Mc II, 7	Beda	 In Mc II, 7	homelia (nct)
Beda, In Mc II, 8	Beda	 In Mc II, 8	homelia (nct)
Beda, In Mc IV, 14-15, 47	Beda	 In Mc IV, 14-15, 47	homelia (nct)
Beda, Super Act 11-12	Beda	 Super Act 11-12	homelia (nct)
Beda, in Mc II, 7	Beda	 in Mc II, 7	homelia (nct)
Bertarius Casinensis, Serm. de s. Scholastica	Bertarius Casinensis	 Serm. de s. Scholastica	nan
Bruno Astensis, Comm. In Mt LXX	Bruno Astensis	 Comm. In Mt LXX	homelia (nct)
Bruno Astensis, Comm. in Io 42 + S. III, In nat. un. Mart.	Bruno Astensis	 Comm. in Io 42 + S. III, In nat. un. Mart.	nan
Bruno Astensis, Comm. in Io 44 +  Hom. CXXIV, In nat. Apost. II	Bruno Astensis	 Comm. in Io 44 +  Hom. CXXIV, In nat. Apost. II	nan
Bruno Astensis, Comm. in Lc XV	Bruno Astensis	 Comm. in Lc XV	homelia (nct)
Bruno Astensis, Hom CXXXI, In nat. Plur. Mart. III	Bruno Astensis	 Hom CXXXI, In nat. Plur. Mart. III	homelia (nct)
Bruno Astensis, Hom. CXXIII, In Nat. Apost. I; cfr. Comm. in Io 43	Bruno Astensis	 Hom. CXXIII, In Nat. Apost. I; cfr. Comm. in Io 43	nan
Bruno Astensis, Hom. CXXIX, In Nat. Plur. Mar. I + Comm. in Mt. 39	Bruno Astensis	 Hom. CXXIX, In Nat. Plur. Mar. I + Comm. in Mt. 39	homelia (nct)
Bruno Astensis, Hom. CXXV, In nat. Apost., III = Comm. in Mt 38	Bruno Astensis	 Hom. CXXV, In nat. Apost., III = Comm. in Mt 38	homelia (nct)
Bruno Astensis, Hom. CXXVI, In nat. Apost. IV; Comm. In Mt 80-81	Bruno Astensis	 Hom. CXXVI, In nat. Apost. IV; Comm. In Mt 80-81	nan
Bruno Astensis, Hom. CXXVII. Item de Apostolis V + Comm. in Mt 36-37	Bruno Astensis	 Hom. CXXVII. Item de Apostolis V + Comm. in Mt 36-37	nan
Bruno Astensis, Hom. CXXVIII, In nat. Apost. VI	Bruno Astensis	 Hom. CXXVIII, In nat. Apost. VI	nan
Bruno Astensis, Hom. CXXX. In nat. Plur. Mar. II = Comm. in Mt 40	Bruno Astensis	 Hom. CXXX. In nat. Plur. Mar. II = Comm. in Mt 40	homelia (nct)
Bruno Astensis, Hom. CXXXII, In nat. un. Mar. I + Comm. in Mat. 69-70	Bruno Astensis	 Hom. CXXXII, In nat. un. Mar. I + Comm. in Mat. 69-70	homelia (nct)
Bruno Astensis, Hom.CXXXIII, In nat. Un. Mart. II; Comm. in Lc 34	Bruno Astensis	 Hom.CXXXIII, In nat. Un. Mart. II; Comm. in Lc 34	homelia (nct)
Caesarius [?], Hom. ss. Iacobi et Iohannis	Caesarius	 Hom. ss. Iacobi et Iohannis	homelia (nct)
Caesarius, S.	Caesarius	 S.	homelia (nct)
Caesarius, S. 101	Caesarius	 S. 101	homelia (nct)
Caesarius, S. 102	Caesarius	 S. 102	homelia (nct)
Caesarius, S. 103, 1-5	Caesarius	 S. 103, 1-5	homelia (nct)
Caesarius, S. 107	Caesarius	 S. 107	homelia (nct)
Caesarius, S. 109	Caesarius	 S. 109	homelia (nct)
Caesarius, S. 114	Caesarius	 S. 114	homelia (nct)
Caesarius, S. 115	Caesarius	 S. 115	homelia (nct)
Caesarius, S. 121	Caesarius	 S. 121	homelia (nct)
Caesarius, S. 124	Caesarius	 S. 124	homelia (nct)
Caesarius, S. 128	Caesarius	 S. 128	homelia (nct)
Caesarius, S. 13	Caesarius	 S. 13	homelia (nct)
Caesarius, S. 131	Caesarius	 S. 131	homelia (nct)
Caesarius, S. 132	Caesarius	 S. 132	homelia (nct)
Caesarius, S. 154	Caesarius	 S. 154	homelia (nct)
Caesarius, S. 16	Caesarius	 S. 16	homelia (nct)
Caesarius, S. 187	Caesarius	 S. 187	homelia (nct)
Caesarius, S. 188	Caesarius	 S. 188	homelia (nct)
Caesarius, S. 190	Caesarius	 S. 190	homelia (nct)
Caesarius, S. 192	Caesarius	 S. 192	homelia (nct)
Caesarius, S. 193	Caesarius	 S. 193	homelia (nct)
Caesarius, S. 197	Caesarius	 S. 197	homelia (nct)
Caesarius, S. 198	Caesarius	 S. 198	homelia (nct)
Caesarius, S. 199	Caesarius	 S. 199	homelia (nct)
Caesarius, S. 199	Caesarius	 S. 199	nan
Caesarius, S. 200	Caesarius	 S. 200	homelia (nct)
Caesarius, S. 202	Caesarius	 S. 202	homelia (nct)
Caesarius, S. 204	Caesarius	 S. 204	homelia (nct)
Caesarius, S. 216	Caesarius	 S. 216	homelia (nct)
Caesarius, S. 217	Caesarius	 S. 217	nan
Caesarius, S. 217	Caesarius	 S. 217	homelia (nct)
Caesarius, S. 219	Caesarius	 S. 219	homelia (nct)
Caesarius, S. 222	Caesarius	 S. 222	homelia (nct)
Caesarius, S. 222, 1-2	Caesarius	 S. 222, 1-2	homelia (nct)
Caesarius, S. 223	Caesarius	 S. 223	homelia (nct)
