Autore/Opera	author	opera	Forma
Is 2, 1-17; 7, 10-17; 11, 1-10	Is 2	 1-17; 7, 10-17; 11, 1-10	nan
Is 40	Is 40		nan
Is 40, 1-17	Is 40	 1-17	lectio
Is 40, 1-17	Is 40	 1-17	nan
Is 42-43, 3	Is 42-43	 3	nan
Is 51, 9-12	Is 51	 9-12	lectio
Is 51,9 - 52,10	Is 51	9 - 52,10	lectio
Is 51,9 - 52,10	Is 51	9 - 52,10	nan
Is 51,9 - 52,6	Is 51	9 - 52,6	nan
Is 55-56, 2	Is 55-56	 2	lectio
Is 55-56,2	Is 55-56	2	lectio
Is 55; 60; 61,10-65, 1; 65, 11-66, 2	Is 55; 60; 61	10-65, 1; 65, 11-66, 2	lectio
Is 60, 1-16	Is 60	 1-16	lectio
Is 61,10-62	Is 61	10-62	lectio
Is 9, 1-17	Is 9	 1-17	nan
Is 9, 1-8	Is 9	 1-8	lectio
Is 9; 10, 1-4; 40; 41, 1-20; 42, 1-9, 17-25; 43, 1-13; 51, 9-23; 52	Is 9; 10	 1-4; 40; 41, 1-20; 42, 1-9, 17-25; 43, 1-13; 51, 9-23; 52	lectio
Isidorus, De eccl. off., I, 26	Isidorus	 De eccl. off., I, 26	homelia (nct)
Isidorus, De eccl. off., I, 37-40	Isidorus	 De eccl. off., I, 37-40	nan
Isidorus, De ortu et obitu Patrum, 72	Isidorus	 De ortu et obitu Patrum, 72	nan
Isidorus, Sent., I, 10	Isidorus	 Sent., I, 10	homelia (nct)
Lam, 1	Lam	 1	lectio
Lam 1	Lam 1		nan
Lam 1, 1-2, 7	Lam 1	 1-2, 7	lectio
Lam 1-2,7	Lam 1-2	7	lectio
Lam 1-2,7	Lam 1-2	7	nan
Lam 2, 8-3, 21	Lam 2	 8-3, 21	lectio
Lam 2, 8-3, 21	Lam 2	 8-3, 21	nan
Lam 2 (assenti i   15-19; il  22  vergato sulla colonna B di p. 441 dopo Lam 3); Lam 3 (assenti i   7-15, 35-44, 46); Lam 4-5	Lam 2 ...	 35-44, 46); Lam 4-5	lectio
Lam 2-3, 45	Lam 2-3	 45	nan
Lam 3, 22-5	Lam 3	 22-5	lectio
Lam 3, 22-5	Lam 3	 22-5	nan
Lam 3, 46-4	Lam 3	 46-4	nan
Lam 5	Lam 5		nan
Leo Magnus, Ep. 28, 2-4	Leo Magnus	 Ep. 28, 2-4	nan
Leo Magnus, Ep. 59, 3 e 4; 35, 2 e 3; 139, 2 e 3 (extr.)	Leo Magnus	 Ep. 59, 3 e 4; 35, 2 e 3; 139, 2 e 3 (extr.)	nan
Leo Magnus, Tract. 1	Leo Magnus	 Tract. 1	homelia (nct)
Leo Magnus, Tract. 12	Leo Magnus	 Tract. 12	homelia (nct)
Leo Magnus, Tract. 18	Leo Magnus	 Tract. 18	homelia (nct)
Leo Magnus, Tract. 19	Leo Magnus	 Tract. 19	homelia (nct)
Leo Magnus, Tract. 2	Leo Magnus	 Tract. 2	homelia (nct)
Leo Magnus, Tract. 3	Leo Magnus	 Tract. 3	homelia (nct)
Leo Magnus, Tract. 31	Leo Magnus	 Tract. 31	homelia (nct)
Leo Magnus, Tract. 32	Leo Magnus	 Tract. 32	homelia (nct)
Leo Magnus, Tract. 37	Leo Magnus	 Tract. 37	homelia (nct)
Leo Magnus, Tract. 38	Leo Magnus	 Tract. 38	homelia (nct)
Leo Magnus, Tract. 39	Leo Magnus	 Tract. 39	nan
Leo Magnus, Tract. 4	Leo Magnus	 Tract. 4	homelia (nct)
Leo Magnus, Tract. 40	Leo Magnus	 Tract. 40	homelia (nct)
Leo Magnus, Tract. 40	Leo Magnus	 Tract. 40	nan
Leo Magnus, Tract. 41	Leo Magnus	 Tract. 41	homelia (nct)
Leo Magnus, Tract. 41	Leo Magnus	 Tract. 41	nan
Leo Magnus, Tract. 42	Leo Magnus	 Tract. 42	homelia (nct)
Leo Magnus, Tract. 42	Leo Magnus	 Tract. 42	nan
Leo Magnus, Tract. 43	Leo Magnus	 Tract. 43	homelia (nct)
Leo Magnus, Tract. 43	Leo Magnus	 Tract. 43	nan
Leo Magnus, Tract. 44	Leo Magnus	 Tract. 44	homelia (nct)
Leo Magnus, Tract. 44	Leo Magnus	 Tract. 44	nan
Leo Magnus, Tract. 45	Leo Magnus	 Tract. 45	nan
Leo Magnus, Tract. 46	Leo Magnus	 Tract. 46	homelia (nct)
Leo Magnus, Tract. 46	Leo Magnus	 Tract. 46	nan
Leo Magnus, Tract. 47	Leo Magnus	 Tract. 47	nan
Leo Magnus, Tract. 48	Leo Magnus	 Tract. 48	homelia (nct)
Leo Magnus, Tract. 48	Leo Magnus	 Tract. 48	nan
Leo Magnus, Tract. 49	Leo Magnus	 Tract. 49	nan
Leo Magnus, Tract. 50	Leo Magnus	 Tract. 50	homelia (nct)
Leo Magnus, Tract. 50	Leo Magnus	 Tract. 50	nan
Leo Magnus, Tract. 51	Leo Magnus	 Tract. 51	homelia (nct)
Leo Magnus, Tract. 51	Leo Magnus	 Tract. 51	nan
Leo Magnus, Tract. 51, 1-4	Leo Magnus	 Tract. 51, 1-4	homelia (nct)
Leo Magnus, Tract. 59	Leo Magnus	 Tract. 59	homelia (nct)
Leo Magnus, Tract. 60	Leo Magnus	 Tract. 60	homelia (nct)
Leo Magnus, Tract. 61	Leo Magnus	 Tract. 61	homelia (nct)
Leo Magnus, Tract. 63	Leo Magnus	 Tract. 63	homelia (nct)
Leo Magnus, Tract. 65	Leo Magnus	 Tract. 65	homelia (nct)
Leo Magnus, Tract. 67	Leo Magnus	 Tract. 67	homelia (nct)
Leo Magnus, Tract. 68	Leo Magnus	 Tract. 68	homelia (nct)
Leo Magnus, Tract. 72	Leo Magnus	 Tract. 72	homelia (nct)
Leo Magnus, Tract. 73	Leo Magnus	 Tract. 73	homelia (nct)
Leo Magnus, Tract. 74	Leo Magnus	 Tract. 74	homelia (nct)
Leo Magnus, Tract. 75	Leo Magnus	 Tract. 75	homelia (nct)
Leo Magnus, Tract. 76	Leo Magnus	 Tract. 76	homelia (nct)
Leo Magnus, Tract. 77	Leo Magnus	 Tract. 77	homelia (nct)
Leo Magnus, Tract. 78	Leo Magnus	 Tract. 78	homelia (nct)
Leo Magnus, Tract. 79	Leo Magnus	 Tract. 79	homelia (nct)
Leo Magnus, Tract. 80	Leo Magnus	 Tract. 80	homelia (nct)
Leo Magnus, Tract. 81	Leo Magnus	 Tract. 81	homelia (nct)
Leo Magnus, Tract. 82	Leo Magnus	 Tract. 82	homelia (nct)
Leo Magnus, Tract. 83	Leo Magnus	 Tract. 83	homelia (nct)
Leo Magnus, Tract. 85	Leo Magnus	 Tract. 85	homelia (nct)
Leo Magnus, Tract. 86	Leo Magnus	 Tract. 86	homelia (nct)
Leo Magnus, Tract. 87	Leo Magnus	 Tract. 87	homelia (nct)
Leo Magnus, Tract. 92	Leo Magnus	 Tract. 92	homelia (nct)
Leo Magnus, Tract. 93	Leo Magnus	 Tract. 93	homelia (nct)
Leo Magnus, Tract. 93 + 90, 4	Leo Magnus	 Tract. 93 + 90, 4	homelia (nct)
Leo Magnus, Tract. 94	Leo Magnus	 Tract. 94	homelia (nct)
Leo Magnus, Tract. 94, 1-4 + 92, 4	Leo Magnus	 Tract. 94, 1-4 + 92, 4	homelia (nct)
Leo Magnus, Tract. 95	Leo Magnus	 Tract. 95	homelia (nct)
Marcus Casinensis, Carmen de sancto Benedicto	Marcus Casinensis	 Carmen de sancto Benedicto	nan
Maximus, S. 1	Maximus	 S. 1	homelia (nct)
Maximus, S. 110 extr.	Maximus	 S. 110 extr.	homelia (nct)
Maximus, S. 110 extr.	Maximus	 S. 110 extr.	nan
Maximus, S. 12	Maximus	 S. 12	homelia (nct)
Maximus, S. 24	Maximus	 S. 24	homelia (nct)
Maximus, S. 26	Maximus	 S. 26	homelia (nct)
Maximus, S. 3, 3	Maximus	 S. 3, 3	homelia (nct)
Maximus, S. 4	Maximus	 S. 4	homelia (nct)
Maximus, S. 48	Maximus	 S. 48	homelia (nct)
Maximus, S. 5	Maximus	 S. 5	homelia (nct)
Maximus, S. 53	Maximus	 S. 53	homelia (nct)
Maximus, S. 54	Maximus	 S. 54	homelia (nct)
Maximus, S. 56	Maximus	 S. 56	homelia (nct)
Maximus, S. 57	Maximus	 S. 57	homelia (nct)
Maximus, S. 6	Maximus	 S. 6	homelia (nct)
Maximus, S. 61	Maximus	 S. 61	sermo
Maximus, S. 61	Maximus	 S. 61	homelia (nct)
Maximus, S. 61a extr., 3	Maximus	 S. 61a extr., 3	nan
Maximus, S. 76	Maximus	 S. 76	homelia (nct)
Maximus, S. 81	Maximus	 S. 81	homelia (nct)
Maximus, S. 88	Maximus	 S. 88	homelia (nct)
Maximus, S. 9	Maximus	 S. 9	homelia (nct)
Maximus, S. 9	Maximus	 S. 9	nan
Maximus, S. 99 extr.	Maximus	 S. 99 extr.	homelia (nct)
Melito Sardensis, Hom. de Pascha (versione latina abbreviata)	Melito Sardensis	 Hom. de Pascha (versione latina abbreviata)	homelia (nct)
Miracula s. Alexii	Miracula s. Alexii		nan
Mt 28, 7-15	Mt 28	 7-15	homelia (nct)
Origenes,  In Mt 70	Origenes	  In Mt 70	sermo
Origenes, Hom. 34 in Lc	Origenes	 Hom. 34 in Lc	nan
Origenes, In Lc 18	Origenes	 In Lc 18	homelia (nct)
Origenes, In Lc 33	Origenes	 In Lc 33	homelia (nct)
Origenes, In Lc 34	Origenes	 In Lc 34	homelia (nct)
Origenes, In Lc, Hom. 16- 17	Origenes	 In Lc, Hom. 16- 17	homelia (nct)
Origenes, In Lc, Hom. 16-17	Origenes	 In Lc, Hom. 16-17	homelia (nct)
Origenes, In Lc, Hom. 17	Origenes	 In Lc, Hom. 17	homelia (nct)
Origenes, In Lc, Hom. 17	Origenes	 In Lc, Hom. 17	nan
Origenes, In Lc, Hom. 18	Origenes	 In Lc, Hom. 18	homelia (nct)
Origenes, In Lc, Hom. 18-20	Origenes	 In Lc, Hom. 18-20	homelia (nct)
Origenes, In Lc, Hom. 29	Origenes	 In Lc, Hom. 29	homelia (nct)
Origenes, In Lc, Hom. 33	Origenes	 In Lc, Hom. 33	nan
Origenes, In Lc, Hom. 34	Origenes	 In Lc, Hom. 34	homelia (nct)
Origenes, In Lc, Hom. 7-8	Origenes	 In Lc, Hom. 7-8	homelia (nct)
Origenes, In Mt 17, 14	Origenes	 In Mt 17, 14	nan
Origenes, In Mt 70-72	Origenes	 In Mt 70-72	homelia (nct)
Origenes, In Mt 70-73	Origenes	 In Mt 70-73	homelia (nct)
Origenes, In Mt 70-73	Origenes	 In Mt 70-73	nan
Origenes, In Mt 72-73	Origenes	 In Mt 72-73	homelia (nct)
Origenes, In Mt XVI, 19-22	Origenes	 In Mt XVI, 19-22	homelia (nct)
Origenes, In Mt XVI, 19-22	Origenes	 In Mt XVI, 19-22	nan
Origenes, In Mt, Hom. 15	Origenes	 In Mt, Hom. 15	homelia (nct)
Origenes/Hieronymus, In Lc, Hom. Hom. 29	Origenes/Hieronymus	 In Lc, Hom. Hom. 29	homelia (nct)
Paschasius Radbertus, De assumptione	Paschasius Radbertus	 De assumptione	homelia (nct)
Passio  Restitutae	Passio  Restitutae		lectio
Passio sancti Polycarpi	Passio sancti Polycarpi		lectio
Passio sanctorum Marii, Marthae, Audifacis et Abacuc martyrum Romae	Passio sanctorum Marii	 Marthae, Audifacis et Abacuc martyrum Romae	lectio
Paulus Diaconus, Hom. 1	Paulus Diaconus	 Hom. 1	homelia (nct)
Paulus Diaconus, Hom. 2	Paulus Diaconus	 Hom. 2	homelia (nct)
Paulus Diaconus, Hom. 2. In Assumptione b. Mariae virg.	Paulus Diaconus	 Hom. 2. In Assumptione b. Mariae virg.	homelia (nct)
Paulus Diaconus, In Mt 18, 23	Paulus Diaconus	 In Mt 18, 23	homelia (nct)
Paulus Diaconus, Miracula s. Benedicti	Paulus Diaconus	 Miracula s. Benedicti	nan
Petrus Chrisologus, S. 145	Petrus Chrisologus	 S. 145	homelia (nct)
Petrus Chrysologus, S. 102	Petrus Chrysologus	 S. 102	homelia (nct)
Petrus Chrysologus, S. 103	Petrus Chrysologus	 S. 103	homelia (nct)
Petrus Chrysologus, S. 106	Petrus Chrysologus	 S. 106	homelia (nct)
Petrus Chrysologus, S. 125	Petrus Chrysologus	 S. 125	homelia (nct)
Petrus Chrysologus, S. 127	Petrus Chrysologus	 S. 127	homelia (nct)
Petrus Chrysologus, S. 143	Petrus Chrysologus	 S. 143	homelia (nct)
Petrus Chrysologus, S. 145	Petrus Chrysologus	 S. 145	homelia (nct)
Petrus Chrysologus, S. 150	Petrus Chrysologus	 S. 150	homelia (nct)
Petrus Chrysologus, S. 179	Petrus Chrysologus	 S. 179	homelia (nct)
Petrus Chrysologus, S. 21	Petrus Chrysologus	 S. 21	nan
Petrus Chrysologus, S. 21	Petrus Chrysologus	 S. 21	homelia (nct)
Petrus Chrysologus, S. 34	Petrus Chrysologus	 S. 34	homelia (nct)
Petrus Chrysologus, S. 43	Petrus Chrysologus	 S. 43	nan
Petrus Chrysologus, S. 50	Petrus Chrysologus	 S. 50	homelia (nct)
Petrus Chrysologus, S. 74, 1-7	Petrus Chrysologus	 S. 74, 1-7	homelia (nct)
Petrus Chrysologus, S. 78	Petrus Chrysologus	 S. 78	homelia (nct)
Petrus Chrysologus, Serm. 145, 7-10	Petrus Chrysologus	 Serm. 145, 7-10	nan
Petrus Damianus, Carm. 130, De omnibus sanctis	Petrus Damianus	 Carm. 130, De omnibus sanctis	versus
Petrus Damianus, Carm. 61	Petrus Damianus	 Carm. 61	versus
Petrus Damianus, Carm. 62	Petrus Damianus	 Carm. 62	versus
Petrus Damianus, Carm. 93	Petrus Damianus	 Carm. 93	versus
Petrus Damianus, Carm. 94, 1-61	Petrus Damianus	 Carm. 94, 1-61	versus
Petrus Damianus, Carm., 93-94	Petrus Damianus	 Carm., 93-94	homelia (nct)
Petrus Damianus, S. 46	Petrus Damianus	 S. 46	homelia (nct)
Petrus Damianus, S. 46, 1-10	Petrus Damianus	 S. 46, 1-10	homelia (nct)
Petrus Damianus, S. 8, In vig. s. Benedicti	Petrus Damianus	 S. 8, In vig. s. Benedicti	homelia (nct)
Petrus Damianus, Sermo 46, 1-2	Petrus Damianus	 Sermo 46, 1-2	homelia (nct)
Proclus Constantinopolitanus, Hom. I. De laudibus s. Mariae (versione latina)	Proclus Constantinopolitanus	 Hom. I. De laudibus s. Mariae (versione latina)	homelia (nct)
Proclus Constantinopolitanus, Oratio V, Laudatio in s. Virginem ac Dei genitricem Mariam	Proclus Constantinopolitanus	 Oratio V, Laudatio in s. Virginem ac Dei genitricem Mariam	oratio
Proclus Constantinopolitanus, Oratio V, Laudatio in s. Virginem ac Dei genitricem Mariam	Proclus Constantinopolitanus	 Oratio V, Laudatio in s. Virginem ac Dei genitricem Mariam	homelia (nct)
Ps.  Chrysostomus, Op. imp. in Mt 40	Ps.  Chrysostomus	 Op. imp. in Mt 40	homelia (nct)
Ps. Ambrosius, S. in Lc V, 1	Ps. Ambrosius	 S. in Lc V, 1	homelia (nct)
Ps. Ambrosius, S. in Lc V, 1	Ps. Ambrosius	 S. in Lc V, 1	nan
Ps. Ambrosius, S. in Lucam, V, 1	Ps. Ambrosius	 S. in Lucam, V, 1	homelia (nct)
Ps. Augustinus,  S. Mai 112, 5-7	Ps. Augustinus	  S. Mai 112, 5-7	homelia (nct)
Ps. Augustinus, De filium viduae unicum resuscitatum; Ps. Fulgentius, S. app. 6 (7)	Ps. Augustinus	 De filium viduae unicum resuscitatum; Ps. Fulgentius, S. app. 6 (7)	homelia (nct)
Ps. Augustinus, Hypomnesticon III, 8	Ps. Augustinus	 Hypomnesticon III, 8	homelia (nct)
Ps. Augustinus, Hypomnesticon, III, 8	Ps. Augustinus	 Hypomnesticon, III, 8	nan
Ps. Augustinus, In Nat. Apostolorum Petri et Pauli	Ps. Augustinus	 In Nat. Apostolorum Petri et Pauli	homelia (nct)
Ps. Augustinus, In purificatione s. Mariae	Ps. Augustinus	 In purificatione s. Mariae	homelia (nct)
Ps. Augustinus, S.	Ps. Augustinus	 S.	homelia (nct)
Ps. Augustinus, S.	Ps. Augustinus	 S.	nan
Ps. Augustinus, S. 104, add.	Ps. Augustinus	 S. 104, add.	homelia (nct)
Ps. Augustinus, S. 119; Ps. Faustus, S. 2; Ps Fulgentius	Ps. Augustinus	 S. 119; Ps. Faustus, S. 2; Ps Fulgentius	homelia (nct)
Ps. Augustinus, S. 122; Ps. Maximus, Hom. Bruni 12	Ps. Augustinus	 S. 122; Ps. Maximus, Hom. Bruni 12	homelia (nct)
Ps. Augustinus, S. 123; Ps. Fulgentius, S. 36	Ps. Augustinus	 S. 123; Ps. Fulgentius, S. 36	homelia (nct)
Ps. Augustinus, S. 134; Ps. Maximus, Hom. Bruni 34	Ps. Augustinus	 S. 134; Ps. Maximus, Hom. Bruni 34	nan
Ps. Augustinus, S. 134; Ps. Maximus, Hom. Bruni 34	Ps. Augustinus	 S. 134; Ps. Maximus, Hom. Bruni 34	homelia (nct)
Ps. Augustinus, S. 135, 1-4 = Maximus, S, 13 A extr.	Ps. Augustinus	 S. 135, 1-4 = Maximus, S, 13 A extr.	homelia (nct)
Ps. Augustinus, S. 135, 1-4 = Maximus, S. 13A  extr.	Ps. Augustinus	 S. 135, 1-4 = Maximus, S. 13A  extr.	homelia (nct)
Ps. Augustinus, S. 138	Ps. Augustinus	 S. 138	homelia (nct)
Ps. Augustinus, S. 144	Ps. Augustinus	 S. 144	homelia (nct)
Ps. Augustinus, S. 145	Ps. Augustinus	 S. 145	homelia (nct)
Ps. Augustinus, S. 158; Ps. Maximus, S. Bruni 6 app.	Ps. Augustinus	 S. 158; Ps. Maximus, S. Bruni 6 app.	homelia (nct)
Ps. Augustinus, S. 160	Ps. Augustinus	 S. 160	homelia (nct)
Ps. Augustinus, S. 162	Ps. Augustinus	 S. 162	homelia (nct)
Ps. Augustinus, S. 175	Ps. Augustinus	 S. 175	homelia (nct)
Ps. Augustinus, S. 179	Ps. Augustinus	 S. 179	homelia (nct)
Ps. Augustinus, S. 185	Ps. Augustinus	 S. 185	nan
Ps. Augustinus, S. 185	Ps. Augustinus	 S. 185	homelia (nct)
Ps. Augustinus, S. 189	Ps. Augustinus	 S. 189	homelia (nct)
Ps. Augustinus, S. 193; S. Caillau II, 32	Ps. Augustinus	 S. 193; S. Caillau II, 32	homelia (nct)
Ps. Augustinus, S. 194, 1-3; Ps. Fulbertus Carnotensis, S. 9, 1-3	Ps. Augustinus	 S. 194, 1-3; Ps. Fulbertus Carnotensis, S. 9, 1-3	homelia (nct)
Ps. Augustinus, S. 194, 3-5; Ps. Fulbertus Carnotensis, S. 9, 3-5	Ps. Augustinus	 S. 194, 3-5; Ps. Fulbertus Carnotensis, S. 9, 3-5	homelia (nct)
Ps. Augustinus, S. 199 = Petrus Chrysologus, S. 91, versione pi lunga	Ps. Augustinus	 S. 199 = Petrus Chrysologus, S. 91, versione pi lunga	homelia (nct)
Ps. Augustinus, S. 199 = Petrus Chrysologus, S. 91, versione pi lunga	Ps. Augustinus	 S. 199 = Petrus Chrysologus, S. 91, versione pi lunga	nan
Ps. Augustinus, S. 2 ex Mai Spic. Rom. VIII; S. Caillau II, app. 26	Ps. Augustinus	 S. 2 ex Mai Spic. Rom. VIII; S. Caillau II, app. 26	homelia (nct)
Ps. Augustinus, S. 200	Ps. Augustinus	 S. 200	homelia (nct)
Ps. Augustinus, S. 205	Ps. Augustinus	 S. 205	homelia (nct)
Ps. Augustinus, S. 205, 1-2	Ps. Augustinus	 S. 205, 1-2	homelia (nct)
Ps. Augustinus, S. 218	Ps. Augustinus	 S. 218	homelia (nct)
Ps. Augustinus, S. 219	Ps. Augustinus	 S. 219	homelia (nct)
Ps. Augustinus, S. 241	Ps. Augustinus	 S. 241	homelia (nct)
Ps. Augustinus, S. 248 = Maximus, S. 38, 4 + S. 39	Ps. Augustinus	 S. 248 = Maximus, S. 38, 4 + S. 39	homelia (nct)
Ps. Augustinus, S. 248 = Maximus, S. 38, 4 + S. 39, 1-4	Ps. Augustinus	 S. 248 = Maximus, S. 38, 4 + S. 39, 1-4	homelia (nct)
Ps. Augustinus, S. 248 = Maximus, S. 38, 4 + S. 39;	Ps. Augustinus	 S. 248 = Maximus, S. 38, 4 + S. 39;	homelia (nct)
Ps. Augustinus, S. 370	Ps. Augustinus	 S. 370	homelia (nct)
Ps. Augustinus, S. 370	Ps. Augustinus	 S. 370	nan
Ps. Augustinus, S. 371	Ps. Augustinus	 S. 371	homelia (nct)
Ps. Augustinus, S. 371, 3-4	Ps. Augustinus	 S. 371, 3-4	homelia (nct)
Ps. Augustinus, S. 372	Ps. Augustinus	 S. 372	homelia (nct)
Ps. Augustinus, S. 374	Ps. Augustinus	 S. 374	homelia (nct)
Ps. Augustinus, S. 382	Ps. Augustinus	 S. 382	homelia (nct)
Ps. Augustinus, S. 79	Ps. Augustinus	 S. 79	homelia (nct)
Ps. Augustinus, S. Caillau I, 1	Ps. Augustinus	 S. Caillau I, 1	homelia (nct)
Ps. Augustinus, S. Caillau I, 1, 1-6 + I, 2, 2-7	Ps. Augustinus	 S. Caillau I, 1, 1-6 + I, 2, 2-7	homelia (nct)
Ps. Augustinus, S. Caillau I, 17	Ps. Augustinus	 S. Caillau I, 17	homelia (nct)
Ps. Augustinus, S. Caillau I, 17	Ps. Augustinus	 S. Caillau I, 17	nan
Ps. Augustinus, S. Caillau I, 18	Ps. Augustinus	 S. Caillau I, 18	homelia (nct)
Ps. Augustinus, S. Caillau I, 19	Ps. Augustinus	 S. Caillau I, 19	homelia (nct)
Ps. Augustinus, S. Caillau I, 2	Ps. Augustinus	 S. Caillau I, 2	homelia (nct)
Ps. Augustinus, S. Caillau I, 2, 1-3	Ps. Augustinus	 S. Caillau I, 2, 1-3	homelia (nct)
Ps. Augustinus, S. Caillau I, 21; Ps. Fulgentius, S. 31 (32)	Ps. Augustinus	 S. Caillau I, 21; Ps. Fulgentius, S. 31 (32)	homelia (nct)
Ps. Augustinus, S. Caillau I, 43	Ps. Augustinus	 S. Caillau I, 43	homelia (nct)
Ps. Augustinus, S. Caillau I, 46	Ps. Augustinus	 S. Caillau I, 46	homelia (nct)
Ps. Augustinus, S. Caillau I, 49	Ps. Augustinus	 S. Caillau I, 49	homelia (nct)
Ps. Augustinus, S. Caillau I, 5	Ps. Augustinus	 S. Caillau I, 5	homelia (nct)
Ps. Augustinus, S. Caillau I, 50	Ps. Augustinus	 S. Caillau I, 50	homelia (nct)
Ps. Augustinus, S. Caillau I, 50	Ps. Augustinus	 S. Caillau I, 50	sermo
Ps. Augustinus, S. Caillau I, 56	Ps. Augustinus	 S. Caillau I, 56	homelia (nct)
Ps. Augustinus, S. Caillau I, app. 1; Caillau II, app. 24; Faustus, S. dubius 26; Ps. Leo, S. 3	Ps. Augustinus	 S. Caillau I, app. 1; Caillau II, app. 24; Faustus, S. dubius 26; Ps. Leo, S. 3	homelia (nct)
Ps. Augustinus, S. Caillau I, app. 1; Caillau II, app. 24; Faustus, S. dubius 26; Ps. Leo, S. 3	Ps. Augustinus	 S. Caillau I, app. 1; Caillau II, app. 24; Faustus, S. dubius 26; Ps. Leo, S. 3	nan
Ps. Augustinus, S. Caillau I, app. 6	Ps. Augustinus	 S. Caillau I, app. 6	homelia (nct)
Ps. Augustinus, S. Caillau II, 12	Ps. Augustinus	 S. Caillau II, 12	homelia (nct)
Ps. Augustinus, S. Caillau II, 12	Ps. Augustinus	 S. Caillau II, 12	nan
Ps. Augustinus, S. Caillau II, 26	Ps. Augustinus	 S. Caillau II, 26	homelia (nct)
Ps. Augustinus, S. Caillau II, 27	Ps. Augustinus	 S. Caillau II, 27	homelia (nct)
Ps. Augustinus, S. Caillau II, 28	Ps. Augustinus	 S. Caillau II, 28	nan
Ps. Augustinus, S. Caillau II, 38	Ps. Augustinus	 S. Caillau II, 38	nan
Ps. Augustinus, S. Caillau II, 38	Ps. Augustinus	 S. Caillau II, 38	homelia (nct)
Ps. Augustinus, S. Caillau II, 59; Ps. Augustinus, S. Mai, 51	Ps. Augustinus	 S. Caillau II, 59; Ps. Augustinus, S. Mai, 51	homelia (nct)
Ps. Augustinus, S. Caillau II, 59; S. Mai, 51	Ps. Augustinus	 S. Caillau II, 59; S. Mai, 51	homelia (nct)
Ps. Augustinus, S. Caillau II, 71; S. Mai 54	Ps. Augustinus	 S. Caillau II, 71; S. Mai 54	homelia (nct)
Ps. Augustinus, S. Caillau II, 73; Mai  52	Ps. Augustinus	 S. Caillau II, 73; Mai  52	homelia (nct)
Ps. Augustinus, S. Caillau II, 73; S. Mai 52	Ps. Augustinus	 S. Caillau II, 73; S. Mai 52	homelia (nct)
